,fiber,carbo
0,10.0,5.0
1,2.0,8.0
2,9.0,7.0
3,14.0,8.0
4,1.0,14.0
5,1.5,10.5
6,1.0,11.0
7,2.0,18.0
8,4.0,15.0
9,5.0,13.0
10,0.0,12.0
11,2.0,17.0
12,0.0,13.0
13,2.0,13.0
14,0.0,12.0
15,0.0,22.0
16,1.0,21.0
17,1.0,13.0
18,0.0,12.0
19,4.0,10.0
20,1.0,21.0
21,1.0,21.0
22,2.0,11.0
23,1.0,18.0
24,1.0,11.0
25,1.0,14.0
26,3.0,14.0
27,5.0,12.0
28,5.0,14.0
29,0.0,13.0
30,0.0,11.0
31,0.0,15.0
32,3.0,15.0
33,3.0,17.0
34,3.0,13.0
35,1.0,12.0
36,1.5,11.5
37,0.0,14.0
38,1.0,17.0
39,2.0,20.0
40,0.0,21.0
41,2.0,12.0
42,0.0,12.0
43,0.0,16.0
44,3.0,16.0
45,3.0,16.0
46,3.0,17.0
47,2.0,15.0
48,0.0,15.0
49,3.0,21.0
50,3.0,18.0
51,1.5,13.5
52,6.0,11.0
53,1.0,20.0
54,0.0,13.0
55,1.0,10.0
56,2.0,14.0
57,2.7,-1.0
58,5.0,14.0
59,2.5,10.5
60,2.0,15.0
61,0.0,23.0
62,0.0,22.0
63,3.0,16.0
64,4.0,19.0
65,3.0,20.0
66,1.0,9.0
67,1.0,16.0
68,3.0,15.0
69,0.0,21.0
70,4.0,15.0
71,3.0,16.0
72,0.0,21.0
73,0.0,13.0
74,3.0,17.0
75,3.0,17.0
76,1.0,16.0
