,fiber,carbo,protein
0,10.0,5.0,4
1,2.0,8.0,3
2,9.0,7.0,4
3,14.0,8.0,4
4,1.0,14.0,2
5,1.5,10.5,2
6,1.0,11.0,2
7,2.0,18.0,3
8,4.0,15.0,2
9,5.0,13.0,3
10,0.0,12.0,1
11,2.0,17.0,6
12,0.0,13.0,1
13,2.0,13.0,3
14,0.0,12.0,1
15,0.0,22.0,2
16,1.0,21.0,2
17,1.0,13.0,1
18,0.0,12.0,1
19,4.0,10.0,3
20,1.0,21.0,3
21,1.0,21.0,2
22,2.0,11.0,2
23,1.0,18.0,2
24,1.0,11.0,2
25,1.0,14.0,1
26,3.0,14.0,3
27,5.0,12.0,3
28,5.0,14.0,3
29,0.0,13.0,1
30,0.0,11.0,2
31,0.0,15.0,1
32,3.0,15.0,3
33,3.0,17.0,3
34,3.0,13.0,3
35,1.0,12.0,1
36,1.5,11.5,3
37,0.0,14.0,1
38,1.0,17.0,2
39,2.0,20.0,3
40,0.0,21.0,2
41,2.0,12.0,4
42,0.0,12.0,2
43,0.0,16.0,4
44,3.0,16.0,4
45,3.0,16.0,4
46,3.0,17.0,3
47,2.0,15.0,2
48,0.0,15.0,2
49,3.0,21.0,3
50,3.0,18.0,3
51,1.5,13.5,3
52,6.0,11.0,3
53,1.0,20.0,3
54,0.0,13.0,1
55,1.0,10.0,2
56,2.0,14.0,4
57,2.7,-1.0,5
58,5.0,14.0,3
59,2.5,10.5,3
60,2.0,15.0,2
61,0.0,23.0,1
62,0.0,22.0,2
63,3.0,16.0,2
64,4.0,19.0,3
65,3.0,20.0,3
66,1.0,9.0,2
67,1.0,16.0,6
68,3.0,15.0,2
69,0.0,21.0,2
70,4.0,15.0,3
71,3.0,16.0,3
72,0.0,21.0,2
73,0.0,13.0,1
74,3.0,17.0,3
75,3.0,17.0,3
76,1.0,16.0,2
