,fiber,carbo,protein,fat
0,10.0,5.0,4,1
1,2.0,8.0,3,5
2,9.0,7.0,4,1
3,14.0,8.0,4,0
4,1.0,14.0,2,2
5,1.5,10.5,2,2
6,1.0,11.0,2,0
7,2.0,18.0,3,2
8,4.0,15.0,2,1
9,5.0,13.0,3,0
10,0.0,12.0,1,2
11,2.0,17.0,6,2
12,0.0,13.0,1,3
13,2.0,13.0,3,2
14,0.0,12.0,1,1
15,0.0,22.0,2,0
16,1.0,21.0,2,0
17,1.0,13.0,1,0
18,0.0,12.0,1,1
19,4.0,10.0,3,3
20,1.0,21.0,3,0
21,1.0,21.0,2,0
22,2.0,11.0,2,1
23,1.0,18.0,2,0
24,1.0,11.0,2,1
25,1.0,14.0,1,0
26,3.0,14.0,3,0
27,5.0,12.0,3,2
28,5.0,14.0,3,0
29,0.0,13.0,1,1
30,0.0,11.0,2,0
31,0.0,15.0,1,1
32,3.0,15.0,3,1
33,3.0,17.0,3,0
34,3.0,13.0,3,3
35,1.0,12.0,1,2
36,1.5,11.5,3,1
37,0.0,14.0,1,0
38,1.0,17.0,2,1
39,2.0,20.0,3,1
40,0.0,21.0,2,1
41,2.0,12.0,4,2
42,0.0,12.0,2,1
43,0.0,16.0,4,1
44,3.0,16.0,4,3
45,3.0,16.0,4,3
46,3.0,17.0,3,2
47,2.0,15.0,2,1
48,0.0,15.0,2,1
49,3.0,21.0,3,2
50,3.0,18.0,3,0
51,1.5,13.5,3,2
52,6.0,11.0,3,1
53,1.0,20.0,3,0
54,0.0,13.0,1,0
55,1.0,10.0,2,0
56,2.0,14.0,4,1
57,2.7,-1.0,5,2
58,5.0,14.0,3,1
59,2.5,10.5,3,2
60,2.0,15.0,2,0
61,0.0,23.0,1,0
62,0.0,22.0,2,0
63,3.0,16.0,2,0
64,4.0,19.0,3,0
65,3.0,20.0,3,0
66,1.0,9.0,2,1
67,1.0,16.0,6,0
68,3.0,15.0,2,0
69,0.0,21.0,2,1
70,4.0,15.0,3,1
71,3.0,16.0,3,1
72,0.0,21.0,2,1
73,0.0,13.0,1,1
74,3.0,17.0,3,1
75,3.0,17.0,3,1
76,1.0,16.0,2,1
