,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
0,60,30,19.89,47.59666666666671,19.2,44.79,19.79,44.73,19.0,45.5666666666667,17.1666666666667,55.2,7.02666666666667,84.2566666666667,17.2,41.6266666666667,18.2,48.9,17.0333333333333,45.53,6.6,733.5,92.0,7.0,63.0,5.3,13.275433157105,13.275433157105
1,60,30,19.89,46.69333333333329,19.2,44.7225,19.79,44.79,19.0,45.9925,17.1666666666667,55.2,6.8333333333333295,84.06333333333329,17.2,41.56,18.2,48.863333333333294,17.0666666666667,45.56,6.48333333333333,733.6,92.0,6.66666666666667,59.16666666666669,5.2,18.606194981839508,18.606194981839508
2,50,30,19.89,46.3,19.2,44.6266666666667,19.79,44.933333333333294,18.9266666666667,45.89,17.1666666666667,55.09,6.56,83.1566666666667,17.2,41.433333333333294,18.2,48.73,17.0,45.5,6.36666666666667,733.7,92.0,6.3333333333333295,55.33333333333329,5.1,28.64266816759482,28.64266816759482
3,50,40,19.89,46.0666666666667,19.2,44.59,19.79,45.0,18.89,45.723333333333294,17.1666666666667,55.09,6.43333333333333,83.42333333333329,17.1333333333333,41.29,18.1,48.59,17.0,45.4,6.25,733.7999999999998,92.0,6.0,51.5,5.0,45.410389499738805,45.410389499738805
4,60,40,19.89,46.33333333333329,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.36666666666667,84.8933333333333,17.2,41.23,18.1,48.59,17.0,45.4,6.133333333333329,733.9,92.0,5.66666666666667,47.66666666666669,4.9,10.084096551872788,10.084096551872788
5,50,40,19.89,46.0266666666667,19.2,44.5,19.79,44.933333333333294,18.89,45.73,17.1333333333333,55.03,6.3,85.7666666666667,17.1333333333333,41.26,18.1,48.59,17.0,45.29,6.01666666666667,734.0,92.0,5.3333333333333295,43.83333333333329,4.8,44.91948424838483,44.91948424838483
6,60,50,19.89,45.7666666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666666667,6.263333333333329,86.09,17.1333333333333,41.2,18.1,48.59,17.0,45.29,5.9,734.1,92.0,5.0,40.0,4.7,47.233763430267565,47.233763430267565
7,60,50,19.8566666666667,45.56,19.2,44.5,19.73,44.9,18.89,45.863333333333294,17.1,54.9,6.19,86.42333333333329,17.1,41.2,18.1,48.59,17.0,45.29,5.91666666666667,734.1666666666669,91.8333333333333,5.16666666666667,40.0,4.68333333333333,33.03988962434232,33.03988962434232
8,60,40,19.79,45.5975,19.2,44.433333333333294,19.73,44.79,18.89,45.79,17.1666666666667,55.0,6.1233333333333295,87.2266666666667,17.1666666666667,41.4,18.1,48.59,17.0,45.29,5.93333333333333,734.233333333333,91.6666666666667,5.3333333333333295,40.0,4.66666666666667,31.455702194944024,31.455702194944024
9,70,40,19.8566666666667,46.09,19.23,44.4,19.79,44.863333333333294,18.89,46.09666666666671,17.1,55.0,6.19,87.6266666666667,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.2999999999998,91.5,5.5,40.0,4.65,3.089313523378223,3.089313523378223
10,230,70,19.9266666666667,45.863333333333294,19.3566666666667,44.4,19.79,44.9,18.89,46.43,17.1,55.0,6.19,87.8666666666667,17.2475,42.7175,18.1,48.59,17.0,45.29,5.96666666666667,734.366666666667,91.3333333333333,5.66666666666667,40.0,4.633333333333329,10.298728744965048,10.298728744965048
11,580,60,20.06666666666669,46.3966666666667,19.4266666666667,44.4,19.79,44.8266666666667,19.0,46.43,17.1,55.0,6.1233333333333295,87.9933333333333,17.53,44.26333333333329,18.06666666666669,48.6333333333333,16.89,45.29,5.98333333333333,734.4333333333329,91.1666666666667,5.8333333333333295,40.0,4.61666666666667,8.827837626449764,8.827837626449764
12,430,50,20.1333333333333,48.0,19.56666666666669,44.4,19.89,44.9,19.0,46.363333333333294,17.1,55.09,6.1233333333333295,88.59,17.8233333333333,45.4933333333333,18.06666666666669,48.56,16.9633333333333,45.29,6.0,734.5,91.0,6.0,40.0,4.6,34.35114233288913,34.35114233288913
13,250,40,20.26,52.7266666666667,19.73,45.1,19.89,45.4933333333333,19.0,47.223333333333294,17.1,55.1633333333333,6.0675,88.215,17.9633333333333,46.16,18.033333333333296,48.66666666666671,16.89,45.3266666666667,6.0,734.616666666667,90.5,6.0,40.0,4.51666666666667,19.205185910686847,19.205185910686847
14,100,10,20.4266666666667,55.893333333333295,19.8566666666667,45.83333333333329,20.033333333333296,47.5266666666667,19.0,48.6966666666667,17.1,55.5,5.9,88.1566666666667,17.9633333333333,45.533333333333296,18.1,49.19333333333329,16.89,45.345,6.0,734.733333333333,90.0,6.0,40.0,4.43333333333333,38.49207099992782,38.49207099992782
15,100,10,20.56666666666669,53.893333333333295,20.033333333333296,46.7566666666667,20.1,48.4666666666667,19.0,48.49,17.15,56.0425,5.8,88.3666666666667,17.89,44.9266666666667,18.15,49.2,16.89,45.3266666666667,6.0,734.85,89.5,6.0,40.0,4.35,24.88496210426092,24.88496210426092
16,90,10,20.73,52.66,20.1666666666667,47.223333333333294,20.2,48.53,18.9266666666667,48.1566666666667,17.1666666666667,56.49,5.72666666666667,88.15999999999998,17.76,44.2666666666667,18.23,49.6333333333333,16.89,45.29,6.0,734.966666666667,89.0,6.0,40.0,4.26666666666667,35.88092541322112,35.88092541322112
17,70,30,20.8566666666667,53.66,20.2,47.05666666666671,20.2,48.4475,18.89,47.963333333333296,17.2,56.933333333333294,5.52666666666667,87.29999999999998,17.7,43.7266666666667,18.3566666666667,50.0266666666667,16.89,45.29,6.0,735.0833333333329,88.5,6.0,40.0,4.18333333333333,49.59530474152416,49.59530474152416
18,80,30,20.89,51.19333333333329,20.2,46.33,20.2,48.19333333333329,18.963333333333296,48.63,17.2,57.06,5.3333333333333295,86.76,17.6666666666667,43.16,18.533333333333296,50.2,16.89,45.2,6.0,735.2,88.0,6.0,40.0,4.1,19.00175897171721,19.00175897171721
19,140,40,20.89,49.8,20.2,46.0266666666667,20.1666666666667,47.6333333333333,19.033333333333296,49.5,17.5933333333333,70.7266666666667,5.3333333333333295,87.4633333333333,17.6,42.69333333333329,18.6666666666667,50.26,16.89,45.2,6.0,735.233333333333,87.8333333333333,6.0,40.0,4.06666666666667,38.872261065989726,38.872261065989726
20,120,20,20.89,48.433333333333294,20.2,45.7225,20.1666666666667,47.3,19.175,49.9475,18.06666666666669,79.0,5.46666666666667,87.53,17.6,42.33333333333329,18.73,50.23,16.89,45.1266666666667,6.0,735.266666666667,87.6666666666667,6.0,40.0,4.03333333333333,46.73526155529544,46.73526155529544
21,190,40,20.963333333333296,47.6333333333333,20.26,45.53,20.2,47.0266666666667,19.26,49.6966666666667,17.6666666666667,79.73,5.5,86.9566666666667,17.5333333333333,42.0666666666667,18.8566666666667,50.29,16.89,45.1266666666667,6.0,735.2999999999998,87.5,6.0,40.0,4.0,10.6071260641329,10.6071260641329
22,110,40,21.033333333333296,47.0633333333333,20.29,45.223333333333294,20.26,46.8266666666667,19.32333333333329,49.16666666666671,17.6,79.2566666666667,5.56,86.56333333333329,17.6333333333333,43.6333333333333,18.89,50.1633333333333,16.89,45.06,6.0,735.3333333333329,87.3333333333333,6.0,40.0,3.966666666666669,32.5836883042939,32.5836883042939
23,110,40,21.1,46.59666666666671,20.3566666666667,44.963333333333296,20.29,46.6333333333333,19.39,48.4266666666667,17.5666666666667,78.3933333333333,5.6233333333333295,86.33,17.76,43.6333333333333,18.963333333333296,50.03,16.89,45.0,6.0,735.366666666667,87.1666666666667,6.0,40.0,3.9333333333333296,6.277754798065871,6.277754798065871
24,110,30,21.1333333333333,46.06,20.4266666666667,44.76,20.29,46.433333333333294,19.39,48.19333333333329,17.76,82.45999999999998,5.763333333333329,86.06333333333329,17.8566666666667,43.46,19.0,49.76,16.89,44.9666666666667,6.0,735.4,87.0,6.0,40.0,3.9,13.3610334363766,13.3610334363766
25,110,20,21.2,45.8,20.5,44.76,20.39,46.223333333333294,19.39,47.8,18.3566666666667,82.59,5.65666666666667,85.59,17.79,43.4,19.06666666666669,49.7,16.89,44.9,5.93333333333333,735.466666666667,87.1666666666667,6.0,40.0,3.86666666666667,19.305704627186056,19.305704627186056
26,100,30,21.29,45.9,20.533333333333296,45.09,20.39,46.09,19.39,47.56,18.3566666666667,70.99,5.53,85.73,17.89,43.79,19.1333333333333,49.6333333333333,16.89,44.79,5.86666666666667,735.533333333333,87.3333333333333,6.0,40.0,3.8333333333333295,0.6695166579447686,0.6695166579447686
27,100,20,21.3566666666667,45.8266666666667,20.6666666666667,45.1633333333333,20.39,46.09,19.39,47.5,18.6,62.43,5.43333333333333,86.32666666666668,17.89,43.79,19.2,49.433333333333294,16.89,44.79,5.8,735.6,87.5,6.0,40.0,3.8,19.11939785350114,19.11939785350114
28,100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.4266666666667,47.9933333333333,18.6666666666667,59.03,5.5,86.59999999999998,17.89,43.7,19.23,49.4,16.89,44.7,5.73333333333333,735.6666666666669,87.6666666666667,6.0,40.0,3.766666666666671,43.4845422860235,43.4845422860235
29,100,20,21.5,45.33333333333329,20.7,44.933333333333294,20.39,46.06,19.56666666666669,48.4666666666667,18.82333333333329,56.7266666666667,5.59,86.46666666666668,17.865,43.57,19.29,49.3266666666667,16.89,44.7,5.66666666666667,735.733333333333,87.8333333333333,6.0,40.0,3.7333333333333294,17.017449834384024,17.017449834384024
30,110,20,21.5,45.1266666666667,20.79,44.6333333333333,20.39,46.0,19.6666666666667,48.0933333333333,18.963333333333296,55.33333333333329,5.59,86.325,17.79,43.4,19.29,49.1633333333333,16.8233333333333,44.59,5.6,735.7999999999998,88.0,6.0,40.0,3.7,24.10400577355176,24.10400577355176
31,400,20,21.533333333333296,44.9666666666667,20.79,44.36,20.4266666666667,45.933333333333294,19.6,47.5,19.033333333333296,54.0933333333333,5.65666666666667,86.2266666666667,17.79,43.223333333333294,19.3566666666667,49.03,16.8233333333333,44.53,5.65,735.8833333333331,87.8333333333333,6.16666666666667,40.0,3.716666666666669,29.97829127125442,29.97829127125442
32,400,20,21.6,44.7666666666667,20.89,44.223333333333294,20.5,45.933333333333294,19.6966666666667,47.6266666666667,19.1,53.3666666666667,5.8333333333333295,85.7666666666667,17.79,43.03,19.39,48.863333333333294,16.89,44.59,5.7,735.966666666667,87.6666666666667,6.3333333333333295,40.0,3.7333333333333294,24.67706535244361,24.67706535244361
33,390,30,21.6,44.56,20.963333333333296,43.963333333333296,20.5,45.79,20.0966666666667,47.5666666666667,19.158333333333296,52.4725,5.9,85.0333333333333,17.79,42.76,19.39,48.863333333333294,16.89,44.5225,5.75,736.0499999999998,87.5,6.5,40.0,3.75,9.310880070552226,9.310880070552226
34,240,20,21.6,44.36,21.0,43.83333333333329,20.5,45.73,20.5966666666667,47.223333333333294,19.2,51.99,6.0,84.1266666666667,17.79,42.6266666666667,19.34,48.95,16.8233333333333,44.433333333333294,5.8,736.1333333333331,87.3333333333333,6.66666666666667,40.0,3.766666666666671,41.36866593034937,41.36866593034937
35,60,20,21.6,44.2,21.0,43.7,20.5,45.59,20.996666666666705,47.03,19.2225,51.52,6.0,84.06,17.7,42.6266666666667,19.29,49.23,16.89,44.5,5.85,736.216666666667,87.1666666666667,6.8333333333333295,40.0,3.7833333333333297,33.42333690961823,33.42333690961823
36,60,20,21.6,44.2,21.0,43.59,20.4175,45.545,21.1666666666667,46.5266666666667,19.29,51.23,5.96666666666667,84.79,17.7,42.76,19.3566666666667,49.43,16.89,44.5,5.9,736.2999999999998,87.0,7.0,40.0,3.8,39.711993036326014,39.711993036326014
37,60,20,21.6,44.2,21.0,43.59,20.39,45.6633333333333,21.033333333333296,46.4,19.29,51.06,5.9,85.5966666666667,17.7,43.03,19.39,49.89,16.89,45.0666666666667,5.8,736.4,87.8333333333333,6.8333333333333295,37.0,3.85,5.3971812943927935,5.3971812943927935
38,50,10,21.6,44.2,21.0,43.7,20.29,45.73,20.963333333333296,46.433333333333294,19.29,50.933333333333294,5.763333333333329,86.26,17.7,43.1633333333333,19.39,50.1633333333333,16.89,45.26,5.7,736.5,88.6666666666667,6.66666666666667,34.0,3.9,36.1855473020114,36.1855473020114
39,70,20,21.5,44.23,20.9266666666667,43.76,20.29,45.79,20.865,46.5675,19.29,50.863333333333294,5.6233333333333295,86.59333333333329,17.7,43.4,19.39,50.463333333333296,16.89,45.433333333333294,5.6,736.6,89.5,6.5,31.0,3.95,20.563721482176334,20.563721482176334
40,60,20,21.5,44.363333333333294,20.89,43.845,20.29,45.79,20.73,46.59,19.29,50.79,5.59,87.49666666666668,17.7,43.4666666666667,19.39,50.723333333333294,16.89,45.56,5.5,736.7,90.3333333333333,6.3333333333333295,28.0,4.0,41.047314705792814,41.047314705792814
41,40,20,21.39,44.433333333333294,20.79,43.79,20.23,45.6566666666667,20.7,46.79,19.2,50.6633333333333,5.59,87.8966666666667,17.7,43.6266666666667,19.39,50.963333333333296,16.89,45.6266666666667,5.4,736.7999999999998,91.1666666666667,6.16666666666667,25.0,4.05,32.35300969099626,32.35300969099626
42,40,10,21.39,44.56,20.79,43.863333333333294,20.2,45.6633333333333,20.6333333333333,46.79,19.2,50.53,5.59,88.6333333333333,17.7,43.76,19.39,51.1633333333333,16.89,45.7,5.3,736.9,92.0,6.0,22.0,4.1,39.14663811447098,39.14663811447098
43,30,20,21.29,44.8266666666667,20.7,44.0,20.2,45.59,20.56666666666669,46.933333333333294,19.2,50.5,5.53,89.0266666666667,17.7,43.933333333333294,19.463333333333296,51.5,16.89,45.79,5.26666666666667,737.0,92.0,6.0,25.0,4.06666666666667,27.65181558206677,27.65181558206677
44,40,20,21.29,44.9666666666667,20.6333333333333,44.0,20.1666666666667,45.5,20.5,47.1333333333333,19.2,50.433333333333294,5.53,89.4,17.76,44.33333333333329,19.39,51.56,16.89,45.863333333333294,5.23333333333333,737.1,92.0,6.0,28.0,4.03333333333333,26.48597900988534,26.48597900988534
45,50,20,21.26,45.09,20.6,44.03,20.1,45.5,20.5,47.23,19.1666666666667,50.363333333333294,5.53,89.19333333333331,17.79,44.963333333333296,19.39,51.86,16.89,45.9,5.2,737.2,92.0,6.0,31.0,4.0,39.467811584472656,39.467811584472656
46,310,10,21.2,45.09,20.6,44.09,20.1,45.5,20.4266666666667,47.23,19.1,50.29,5.4,89.4,17.79,45.223333333333294,19.39,52.0,16.89,45.9666666666667,5.16666666666667,737.2999999999998,92.0,6.0,34.0,3.966666666666669,1.1665601166896522,1.1665601166896522
47,380,20,21.1666666666667,45.23,20.5,44.1266666666667,20.1,45.5,20.46,47.36,19.06666666666669,50.26,5.2,88.98999999999998,17.79,45.3266666666667,19.3566666666667,52.09,16.89,46.03,5.133333333333329,737.4,92.0,6.0,37.0,3.9333333333333296,23.861503251828253,23.861503251828253
48,380,20,21.075,45.3725,20.5,44.2,20.1,45.53,20.7933333333333,47.56,19.0,50.1266666666667,4.86666666666667,89.06333333333329,17.79,45.425,19.29,52.1633333333333,16.89,46.09,5.1,737.5,92.0,6.0,40.0,3.9,36.615686933510005,36.615686933510005
49,370,20,21.0,45.4,20.39,44.2,20.1,45.59,21.2633333333333,47.4666666666667,19.0,50.09,4.93333333333333,91.16,17.79,45.56,19.29,52.5,16.89,46.2,5.11666666666667,737.6333333333331,92.0,5.8333333333333295,40.0,3.9166666666666714,34.636577824130654,34.636577824130654
50,120,10,21.0,45.59,20.39,44.26,20.1,45.59,21.5966666666667,47.4,19.0,50.03,5.0,91.43333333333328,17.79,45.73,19.23,52.9,16.89,46.2,5.133333333333329,737.766666666667,92.0,5.66666666666667,40.0,3.9333333333333296,23.880981106776744,23.880981106776744
51,50,0,20.9266666666667,45.59,20.29,44.29,20.1666666666667,45.53,21.89,46.9666666666667,19.0,50.03,4.86666666666667,91.26,17.79,45.863333333333294,19.29,53.5,16.89,46.29,5.15,737.9,92.0,5.5,40.0,3.95,43.06047384161502,43.06047384161502
