,T1,RH_1,T2
0,19.89,47.59666666666671,19.2
1,19.89,46.69333333333329,19.2
2,19.89,46.3,19.2
3,19.89,46.0666666666667,19.2
4,19.89,46.33333333333329,19.2
5,19.89,46.0266666666667,19.2
6,19.89,45.7666666666667,19.2
7,19.8566666666667,45.56,19.2
8,19.79,45.5975,19.2
9,19.8566666666667,46.09,19.23
10,19.9266666666667,45.863333333333294,19.3566666666667
11,20.06666666666669,46.3966666666667,19.4266666666667
12,20.1333333333333,48.0,19.56666666666669
13,20.26,52.7266666666667,19.73
14,20.4266666666667,55.893333333333295,19.8566666666667
15,20.56666666666669,53.893333333333295,20.033333333333296
16,20.73,52.66,20.1666666666667
17,20.8566666666667,53.66,20.2
18,20.89,51.19333333333329,20.2
19,20.89,49.8,20.2
20,20.89,48.433333333333294,20.2
21,20.963333333333296,47.6333333333333,20.26
22,21.033333333333296,47.0633333333333,20.29
23,21.1,46.59666666666671,20.3566666666667
24,21.1333333333333,46.06,20.4266666666667
25,21.2,45.8,20.5
26,21.29,45.9,20.533333333333296
27,21.3566666666667,45.8266666666667,20.6666666666667
28,21.39,45.69,20.7
29,21.5,45.33333333333329,20.7
30,21.5,45.1266666666667,20.79
31,21.533333333333296,44.9666666666667,20.79
32,21.6,44.7666666666667,20.89
33,21.6,44.56,20.963333333333296
34,21.6,44.36,21.0
35,21.6,44.2,21.0
36,21.6,44.2,21.0
37,21.6,44.2,21.0
38,21.6,44.2,21.0
39,21.5,44.23,20.9266666666667
40,21.5,44.363333333333294,20.89
41,21.39,44.433333333333294,20.79
42,21.39,44.56,20.79
43,21.29,44.8266666666667,20.7
44,21.29,44.9666666666667,20.6333333333333
45,21.26,45.09,20.6
46,21.2,45.09,20.6
47,21.1666666666667,45.23,20.5
48,21.075,45.3725,20.5
49,21.0,45.4,20.39
50,21.0,45.59,20.39
51,20.9266666666667,45.59,20.29
52,20.89,45.66666666666671,20.23
53,20.89,46.06,20.2
54,20.79,46.2,20.2
55,20.79,46.2,20.1
56,20.7,46.26,20.1
57,20.7,46.2,20.0
58,20.6,46.2,20.0
59,20.6,46.1266666666667,20.0
60,20.56666666666669,46.0666666666667,19.89
61,20.5,46.2,19.82333333333329
62,20.5,46.29,19.79
63,20.4266666666667,46.23,19.79
64,20.39,46.29,19.76
65,20.39,46.363333333333294,19.7
66,20.29,46.5,19.7
67,20.29,46.545,19.6333333333333
68,20.23,46.5,19.6
69,20.2,46.433333333333294,19.6
70,20.2,46.56,19.56666666666669
71,20.1666666666667,46.363333333333294,19.5
72,20.1,46.363333333333294,19.5
73,20.1,46.5,19.4266666666667
74,20.033333333333296,46.36,19.39
75,20.0,46.29,19.39
76,20.0,46.29,19.39
77,20.0,46.23,19.39
78,19.9266666666667,46.23,19.29
79,19.89,46.23,19.29
80,19.89,46.43,19.29
81,19.89,46.6266666666667,19.29
82,19.89,46.7,19.218
83,19.89,46.863333333333294,19.2
84,19.82333333333329,46.863333333333294,19.2
85,19.8566666666667,46.93,19.2
86,19.79,46.79,19.2
87,19.79,46.895,19.175
88,19.79,47.4266666666667,19.1
89,19.79,48.3666666666667,19.1
90,19.79,48.66666666666671,19.1
91,19.79,48.533333333333296,19.06666666666669
92,19.89,50.0,19.0222222222222
93,19.89,48.7333333333333,19.1
94,19.89,48.0266666666667,19.033333333333296
95,19.89,47.6333333333333,19.0
96,19.8566666666667,47.0633333333333,19.0
97,19.79,46.6566666666667,19.0
98,19.79,46.33333333333329,19.0
99,19.79,46.0666666666667,19.0
100,19.76,45.863333333333294,18.963333333333296
101,19.7,45.79,18.963333333333296
102,19.7,45.6633333333333,18.89
103,19.7,45.59,18.89
104,19.73,47.793333333333294,18.9266666666667
105,19.79,48.793333333333294,19.0
106,19.89,47.94,19.033333333333296
107,19.89,47.16,19.033333333333296
108,19.89,46.7666666666667,19.033333333333296
109,20.0,46.2966666666667,19.1
110,20.0,45.963333333333296,19.1
111,20.0,46.223333333333294,19.1
112,20.0,45.963333333333296,19.1
113,20.0,45.723333333333294,19.15
114,20.0,45.6633333333333,19.2
115,20.033333333333296,45.5,19.2
116,20.1,45.69333333333329,19.2
117,20.1,45.4,19.2
118,20.1,45.3266666666667,19.2
119,20.1,45.3266666666667,19.2
120,20.1666666666667,46.9933333333333,19.2
121,20.1,46.43,19.1
122,20.1,46.03,19.1
123,20.06666666666669,45.363333333333294,19.1
124,20.0,44.963333333333296,19.1
125,20.0,44.76,19.1
126,20.0,44.595,19.1
127,20.0,44.433333333333294,19.1
128,20.0,44.26,19.1
129,20.0,44.2,19.1
130,20.0,44.06,19.033333333333296
131,20.0,44.06,19.0
132,20.0,44.09,19.0
133,20.0,44.03,19.0
134,19.963333333333296,43.9,18.9266666666667
135,19.963333333333296,43.9,19.033333333333296
136,20.0,43.863333333333294,19.1
137,20.06666666666669,43.863333333333294,19.1333333333333
138,20.1,43.79,19.2
139,20.1,43.73,19.1363636363636
140,20.1,43.56,19.13
141,20.1,43.433333333333294,19.1
142,20.1,43.1633333333333,19.0375
143,20.1,43.03,19.00769230769229
144,20.06666666666669,42.83333333333329,19.0
145,20.0,42.6725,19.0
146,20.0,42.53,18.99
147,20.033333333333296,43.4966666666667,18.9022222222222
148,20.033333333333296,42.963333333333296,18.89
149,20.0,43.16,18.89
150,20.0,43.9,18.8566666666667
151,20.0,43.7,18.8566666666667
152,20.0,43.76,18.9266666666667
153,20.033333333333296,44.0,19.0
154,20.1,44.26,19.2
155,20.1,44.2,19.245
156,20.1,44.1266666666667,19.29
157,20.1,44.06,19.37
158,20.1,44.0,19.39
159,20.1,43.9,19.39
160,20.1,43.8266666666667,19.39
161,20.033333333333296,43.73,19.39
162,20.1,43.73,19.39
163,20.06666666666669,43.49,19.3566666666667
164,20.0,43.29,19.29
165,20.0,43.145,19.29
166,20.0,43.06,19.26
167,19.9266666666667,43.0,19.2
168,19.89,42.863333333333294,19.2
169,19.89,42.79,19.2
170,19.89,42.7,19.1
171,19.82333333333329,42.6266666666667,19.1
172,19.79,42.59,19.0444444444444
173,19.79,42.723333333333294,19.0
174,19.76,42.76,19.0
175,19.7,42.7,19.0
176,19.7,42.7,19.0
177,19.6333333333333,42.6266666666667,18.910625
178,19.6666666666667,43.0,18.89
179,19.6,43.0,18.89
180,19.6,43.0,18.89
181,19.533333333333296,43.0,18.8081818181818
182,19.5,43.09,18.79
183,19.5,43.09,18.79
184,19.5,43.145,18.79
185,19.5,43.2,18.775
186,19.4266666666667,43.2,18.7
187,19.39,43.2,18.7
188,19.39,43.26,18.7
189,19.39,43.29,18.69090909090909
190,19.39,43.363333333333294,18.6777777777778
191,19.39,43.4,18.6428571428571
192,19.32333333333329,43.4666666666667,18.6
193,19.29,43.5,18.6
194,19.29,43.56,18.6
195,19.29,43.59,18.588888888888896
196,19.29,43.59,18.5
197,19.29,43.7,18.5
198,19.29,43.76,18.5
199,19.2,43.7,18.5
